key,value,year,category,latitude,longitude,country
Kremlin,208,2022,loc,54.19509725,37.6203200743127,Russia
Bamako,143,2022,loc,12.61326555,-7.984739136241295,Mali
Mali,604,2022,loc,16.3700359,-2.2900239,Mali
Russie,3869,2022,loc,64.6863136,97.7453061,Russia
Afrique occidentale,4,2022,loc,3.90023645,11.511767489037116,Cameroon
Nigeria,240,2022,loc,9.6000359,7.9999721,Nigeria
Ghana,119,2022,loc,8.0300284,-1.0800271,Ghana
France,1554,2022,loc,46.603354,1.8883335,France
Rennes,15,2022,loc,48.1113387,-1.6800198,France
Tunisie,174,2022,loc,33.8439408,9.400138,Tunisia
Algérie,611,2022,loc,28.0000272,2.9999825,Algeria
Southwark Crown,1,2022,loc,51.5057302,-0.0821176872065352,United Kingdom
Royaume-Uni,178,2022,loc,54.7023545,-3.2765753,United Kingdom
Afrique,938,2022,loc,11.5024338,17.7578122,Africa
SFO,2,2022,loc,37.622452,-122.38398938548364,United States
Cameroun,138,2022,loc,4.6125522,13.1535811,Cameroon
Guinée équatoriale,19,2022,loc,1.613172,10.5170357,Equatorial Guinea
Soudan du Sud,15,2022,loc,7.8699431,29.6667897,South Sudan
Malawi,57,2022,loc,-13.2687204,33.9301963,Malawi
Amérique du Sud,20,2022,loc,-21.0002179,-61.0006565,South America
Kiev,823,2022,loc,50.4500336,30.5241361,Ukraine
Moscou,1071,2022,loc,55.625578,37.6063916,Russia
Zimbabwe,137,2022,loc,-18.4554963,29.7468414,Zimbabwe
Mozambique,49,2022,loc,-19.302233,34.9144977,Mozambique
Angola,103,2022,loc,-11.8775768,17.5691241,Angola
Afrique du Sud,231,2022,loc,-28.8166236,24.991639,South Africa
États,286,2022,loc,39.7837304,-100.445882,United States
Zambie,20,2022,loc,-14.5189121,27.5589884,Zambia
Tanzanie,66,2022,loc,-6.5247123,35.7878438,Tanzania
Chine,625,2022,loc,35.0000663,104.999955,China
Cuba,35,2022,loc,23.0131338,-80.8328748,Cuba
Harare,10,2022,loc,-17.8567035,31.0601584,Zimbabwe
New Zimbabwe,1,2022,loc,-20.17476685,28.535090500000003,Zimbabwe
Kilimandjaro,9,2022,loc,-3.0786534000000003,37.41985556750418,Tanzania
Charm el-Cheikh,17,2022,loc,27.8644422,34.295447,Egypt
Égypte,233,2022,loc,26.2540493,29.2675469,Egypt
Terre,61,2022,loc,8.5322391,38.6264712,Ethiopia
Espagne,134,2022,loc,39.3260685,-4.8379791,Spain
Tanzania,5,2022,loc,-6.5247123,35.7878438,Tanzania
République populaire de Chine,30,2022,loc,35.0000663,104.999955,China
Bagamoyo,1,2022,loc,-6.4422075,38.9062189,Tanzania
Pékin,181,2022,loc,40.190632,116.412144,China
État,680,2022,loc,36.5748441,139.2394179,Japan
Ukraine,2458,2022,loc,49.4871968,31.2718321,Ukraine
Europe,760,2022,loc,51.0,10.0,Europe
Asie,101,2022,loc,51.2086975,89.2343748,Asia
Ukraine-Russie,1,2022,loc,52.300237394217085,32.61394526547011,Ukraine
Londres,82,2022,loc,51.5074456,-0.1277653,United Kingdom
Nord,288,2022,loc,50.5289615,3.088350848735302,France
Grande-Bretagne,77,2022,loc,54.3151594,-1.918153211148788,United Kingdom
Belgique,87,2022,loc,50.6402809,4.6667145,Belgium
États-Unis,1303,2022,loc,39.7837304,-100.445882,United States
Washington,294,2022,loc,38.8950368,-77.0365427,United States
Éthiopie,157,2022,loc,10.2116702,38.6521203,Ethiopia
Tigré,80,2022,loc,13.881273,39.127495,Ethiopia
TPLF,19,2022,loc,13.4894708,39.4615476,Ethiopia
Pretoria,35,2022,loc,-25.7459277,28.1879101,South Africa
État éthiopien,1,2022,loc,6.95171495,35.54867353526995,Ethiopia
Donetsk,185,2022,loc,48.0158753,37.8013407,Ukraine
Kherson,347,2022,loc,46.5421715,33.4079326,Ukraine
Grad,15,2022,loc,46.801894,16.0919216,Slovenia
Kharkov,117,2022,loc,49.9923181,36.2310146,Ukraine
Occident,525,2022,loc,39.6913015,-85.4782303,United States
Hong Ting,1,2022,loc,36.0868404,136.3609869,Japan
Amérique,83,2022,loc,51.0000002,-109.0,North America
toujours,1,2022,loc,52.3806823,4.6370676,Netherlands
RDC,171,2022,loc,-2.9814344,23.8222636,Democratic Republic of the Congo
Nord-Kivu,40,2022,loc,-0.5645647,28.7061945,Democratic Republic of the Congo
Kinshasa,62,2022,loc,-4.3196982,15.3424196,Democratic Republic of the Congo
Rutshuru,8,2022,loc,-0.979032,29.29697935983848,Democratic Republic of the Congo
Goma,43,2022,loc,-1.6665685,29.225652,Democratic Republic of the Congo
parc national des Virunga,3,2022,loc,-0.34705995,29.538799836343756,Democratic Republic of the Congo
Monusco,29,2022,loc,-1.6744765,29.24007909637752,Democratic Republic of the Congo
MONUSCO,17,2022,loc,-1.6744765,29.24007909637752,Democratic Republic of the Congo
Kenya,180,2022,loc,1.4419683,38.4313975,Kenya
Rwanda,120,2022,loc,-1.9646631,30.0644358,Rwanda
Américains,1,2022,loc,47.2357922,-1.5678931,France
Suède,118,2022,loc,59.6749712,14.5208584,Sweden
Danemark,69,2022,loc,55.670249,10.3333283,Denmark
Allemagne,451,2022,loc,51.1638175,10.4478313,Germany
mer Baltique,77,2022,loc,56.0,18.0,Baltic Sea
Djibouti,44,2022,loc,11.8145966,42.8453061,Djibouti
Somalie,87,2022,loc,8.3676771,49.083416,Somalia
Soudan,124,2022,loc,14.5844444,29.4917691,Sudan
Turquie,472,2022,loc,38.9597594,34.9249653,Turkey
Onu,2,2022,loc,40.76557505,-83.83356241022632,United States
mer Noire,185,2022,loc,43.87282395,33.99380770501095,Black Sea
Crimée,153,2022,loc,48.8908513,2.3773681,France
Inde,200,2022,loc,22.3511148,78.6677428,India
Odisha,3,2022,loc,20.5431241,84.6897321,India
Krugersdorp,3,2022,loc,-26.095556,27.775556,South Africa
Johannesburg,22,2022,loc,-26.205,28.049722,South Africa
Gauteng,6,2022,loc,-25.9363439,28.0813105,South Africa
GI-TOC,1,2022,loc,41.96654785,2.7816452610576925,Spain
Genève,26,2022,loc,46.2017559,6.1466014,Switzerland
Sud-africains,3,2022,loc,2.9525117,9.9247395,Cameroon
Pyongyang,38,2022,loc,39.0167979,125.7473609,North Korea
mer du Japon,15,2022,loc,43.06001715,137.3353040537996,Sea of Japan
Ulleungdo,2,2022,loc,37.5011143,130.8586063801417,South Korea
Japon,105,2022,loc,36.5748441,139.2394179,Japan
Hamada,1,2022,loc,34.8991982,132.0799984,Japan
Niigata,1,2022,loc,37.6452283,138.7669125,Japan
Yamagata,1,2022,loc,38.4746705,140.083237,Japan
Miyagi,1,2022,loc,38.3880155,140.9761025,Japan
Shinkansen,1,2022,loc,35.74137535,139.75768128389674,Japan
Corée du Nord,78,2022,loc,40.3736611,127.0870417,North Korea
Sud,15,2022,loc,18.2612839,-73.8444985,Haiti
Sud,20,2022,loc,18.2612839,-73.8444985,Haiti
Nord,23,2022,loc,50.5289615,3.088350848735302,France
Grand Palais du Peuple,1,2022,loc,-11.7181199,43.24632493606515,Comoros
Corée du Sud,76,2022,loc,36.22468810768977,127.6715937713863,South Korea
Olympique de Marseille,5,2022,loc,43.26616895,5.372080323124822,France
Marseille,21,2022,loc,43.2961743,5.3699525,France
Vélodrome,1,2022,loc,35.3967095,0.1562331662761261,Algeria
Uruguay,9,2022,loc,-32.8755548,-56.0201525,Uruguay
Qatar,116,2022,loc,25.3336984,51.2295295,Qatar
Italie,178,2022,loc,42.6384261,12.674297,Italy
Jakarta,10,2022,loc,-6.175247,106.8270488,Indonesia
Burkina Faso,267,2022,loc,12.0753083,-1.6880314,Burkina Faso
Burkina,67,2022,loc,12.0753083,-1.6880314,Burkina Faso
Alger,171,2022,loc,36.7729309,3.0588291,Algeria
Anadolu,41,2022,loc,38.9519465,35.501258483407554,Turkey
Maison Blanche,21,2022,loc,38.8976997,-77.03655315,United States
USA,38,2022,loc,39.7837304,-100.445882,United States
Maroc,631,2022,loc,28.3347722,-10.371337908392649,Morocco
Jeune Afrique,7,2022,loc,47.81697195599903,7.329644917892248,France
État algérien,6,2022,loc,35.7175911,-0.6035252867094547,Algeria
Rabat,118,2022,loc,34.02236,-6.8340222,Morocco
Israël,119,2022,loc,30.8124247,34.8594762,Israel
Mines,7,2022,loc,40.2125258,-92.8135338,United States
Abidjan,67,2022,loc,5.320357,-4.016107,Côte d'Ivoire
Sud-Sud,4,2022,loc,18.2223806,-73.0200163,Haiti
Idlib,2,2022,loc,35.9301902,36.6352596,Syria
Syrie,163,2022,loc,34.8147886,38.42317811509885,Syria
Industrie,10,2022,loc,45.3742171,9.3385881,Italy
Monde,1,2022,loc,0.5390647,32.1450213,Uganda
Tillabéri,5,2022,loc,14.2090125,1.4546006,Niger
Niger,183,2022,loc,17.7356214,9.3238432,Niger
Centres,2,2022,loc,44.1638607,2.407631,France
Banana Island,1,2022,loc,1.46755505,103.25430030836188,Malaysia
État nigérian de Lagos,2,2022,loc,12.036967787410733,8.525420670217343,Nigeria
Lokki,1,2022,loc,62.86410515,28.228794062000684,Finland
Adeleke,1,2022,loc,6.433653835303321,3.418337794708848,Nigeria
État de Lagos,2,2022,loc,6.5269033,3.5774005,Nigeria
Suisse,48,2022,loc,48.9657521,6.5811461,France
Schengen,25,2022,loc,49.4716,6.3659008,Luxembourg
Africain,4,2022,loc,-4.39464005221204,15.38196802062866,Democratic Republic of the Congo
Russie-Afrique,51,2022,loc,55.758955,37.5943635,Russia
Africains,139,2022,loc,43.301009,5.3681139,France
Indonésie,59,2022,loc,-2.4833826,117.8902853,Indonesia
