key,value,year,month,category
algérie,147,2023,1,kws
partie,150,2023,1,kws
prétendants,2,2023,1,kws
principaux,26,2023,1,kws
adhésion,15,2023,1,kws
brics,72,2023,1,kws
groupe,142,2023,1,kws
pays,1055,2023,1,kws
afrique,530,2023,1,kws
chef,214,2023,1,kws
diplomatie,84,2023,1,kws
russe,590,2023,1,kws
sergueï,71,2023,1,kws
lavrov,66,2023,1,kws
doute,22,2023,1,kws
alger,18,2023,1,kws
paramètres,3,2023,1,kws
qualités,2,2023,1,kws
leaders,8,2023,1,kws
ministre,293,2023,1,kws
chaîne,71,2023,1,kws
télévision,35,2023,1,kws
nombre,85,2023,1,kws
candidatures,3,2023,1,kws
officielles,10,2023,1,kws
supérieur,15,2023,1,kws
membres,79,2023,1,kws
actuels,10,2023,1,kws
brésil,27,2023,1,kws
russie,635,2023,1,kws
inde,24,2023,1,kws
chine,91,2023,1,kws
sud,231,2023,1,kws
accord,108,2023,1,kws
récentes,9,2023,1,kws
réunions,7,2023,1,kws
présidence,31,2023,1,kws
approche,14,2023,1,kws
commune,25,2023,1,kws
égard,21,2023,1,kws
candidats,8,2023,1,kws
critères,9,2023,1,kws
conditions,44,2023,1,kws
admission,2,2023,1,kws
nouveaux,61,2023,1,kws
modalités,8,2023,1,kws
rapports,12,2023,1,kws
sein,54,2023,1,kws
intérêts,53,2023,1,kws
nationaux,18,2023,1,kws
relations,120,2023,1,kws
structures,14,2023,1,kws
coopération,110,2023,1,kws
future,6,2023,1,kws
caprices,4,2023,1,kws
particulier,41,2023,1,kws
souverain,5,2023,1,kws
cas,79,2023,1,kws
rôle,45,2023,1,kws
dollar,21,2023,1,kws
système,91,2023,1,kws
financier,15,2023,1,kws
international,91,2023,1,kws
monopoles,1,2023,1,kws
années,111,2023,1,kws
mot,22,2023,1,kws
ordre,62,2023,1,kws
mondialisation,2,2023,1,kws
contexte,29,2023,1,kws
congrès,19,2023,1,kws
américain,93,2023,1,kws
raison,65,2023,1,kws
refus,11,2023,1,kws
sanctions,126,2023,1,kws
antirusses,12,2023,1,kws
part,117,2023,1,kws
docile,1,2023,1,kws
face,81,2023,1,kws
instructions,9,2023,1,kws
américaines,30,2023,1,kws
janvier,568,2023,1,kws
présidents,11,2023,1,kws
algérien,41,2023,1,kws
vladimir,57,2023,1,kws
poutine,71,2023,1,kws
abdelmadjid,7,2023,1,kws
tebboune,9,2023,1,kws
téléphone,15,2023,1,kws
moyens,43,2023,1,kws
interaction,10,2023,1,kws
domaine,44,2023,1,kws
bloc,18,2023,1,kws
économique,103,2023,1,kws
argentine,12,2023,1,kws
iran,16,2023,1,kws
ministère,214,2023,1,kws
chinois,21,2023,1,kws
affaires,163,2023,1,kws
étrangères,119,2023,1,kws
indonésie,6,2023,1,kws
turquie,77,2023,1,kws
arabie,11,2023,1,kws
saoudite,11,2023,1,kws
pretoria,27,2023,1,kws
tournante,10,2023,1,kws
fin,162,2023,1,kws
année,145,2023,1,kws
organisation,66,2023,1,kws
nations,64,2023,1,kws
éducation,20,2023,1,kws
science,5,2023,1,kws
culture,31,2023,1,kws
mercredi,42,2023,1,kws
février,65,2023,1,kws
lancement,30,2023,1,kws
dialogue,39,2023,1,kws
mondial,48,2023,1,kws
principes,9,2023,1,kws
régulation,3,2023,1,kws
plateformes,21,2023,1,kws
désinformation,8,2023,1,kws
discours,25,2023,1,kws
haine,10,2023,1,kws
liberté,29,2023,1,kws
expression,12,2023,1,kws
droits,33,2023,1,kws
conférence,54,2023,1,kws
internationale,80,2023,1,kws
siège,28,2023,1,kws
paris,115,2023,1,kws
point,92,2023,1,kws
orgue,1,2023,1,kws
initiative,24,2023,1,kws
milliers,30,2023,1,kws
participants,24,2023,1,kws
présentation,3,2023,1,kws
mondiaux,19,2023,1,kws
attention,23,2023,1,kws
gouvernements,12,2023,1,kws
régulateurs,2,2023,1,kws
entreprises,46,2023,1,kws
numérique,8,2023,1,kws
unesco,6,2023,1,kws
communiqué,105,2023,1,kws
appel,47,2023,1,kws
haut,36,2023,1,kws
parts,2,2023,1,kws
questions,58,2023,1,kws
déterminantes,2,2023,1,kws
époque,58,2023,1,kws
répercussions,6,2023,1,kws
démocratie,22,2023,1,kws
humains,16,2023,1,kws
travers,36,2023,1,kws
monde,244,2023,1,kws
états,86,2023,1,kws
recherche,40,2023,1,kws
règles,15,2023,1,kws
numériques,3,2023,1,kws
circulation,17,2023,1,kws
informations,52,2023,1,kws
précises,3,2023,1,kws
fiables,3,2023,1,kws
audrey,1,2023,1,kws
azoulay,1,2023,1,kws
directrice,14,2023,1,kws
générale,25,2023,1,kws
réseaux,34,2023,1,kws
sociaux,44,2023,1,kws
citoyens,32,2023,1,kws
entier,26,2023,1,kws
sociétés,15,2023,1,kws
terreau,1,2023,1,kws
propice,1,2023,1,kws
théories,1,2023,1,kws
complot,10,2023,1,kws
onusienne,6,2023,1,kws
dernières,60,2023,1,kws
question,103,2023,1,kws
contrôle,73,2023,1,kws
modération,2,2023,1,kws
contenus,2,2023,1,kws
crucial,1,2023,1,kws
périodes,2,2023,1,kws
violences,14,2023,1,kws
insurrections,1,2023,1,kws
perturbation,5,2023,1,kws
élections,22,2023,1,kws
passations,1,2023,1,kws
démocratiques,10,2023,1,kws
agence,71,2023,1,kws
unies,22,2023,1,kws
charge,18,2023,1,kws
communication,24,2023,1,kws
information,70,2023,1,kws
consultation,7,2023,1,kws
mondiale,100,2023,1,kws
organes,8,2023,1,kws
universités,1,2023,1,kws
société,77,2023,1,kws
civile,28,2023,1,kws
agences,3,2023,1,kws
onusiennes,1,2023,1,kws
secrétaire,34,2023,1,kws
général,90,2023,1,kws
programme,28,2023,1,kws
commun,18,2023,1,kws
